cnes_codigo,cod_cep,cep_limpo,cep_valido,codufmun,municipio_codigo_6,municipio6_valido,uf_codigo,uf_valida,spatial_resolution_potencial,TP_UNID,TPGESTAO,ESFERA_A,NAT_JUR,COMPETEN
0000019,54580530,54580530,True,260290,260290,True,26,True,cep,04,M,M,1244,202601
0000035,54535430,54535430,True,260290,260290,True,26,True,cep,05,M,M,1244,202601
0000051,54520250,54520250,True,260290,260290,True,26,True,cep,04,M,M,1244,202601
0000221,54505560,54505560,True,260290,260290,True,26,True,cep,05,M,M,2062,202601
0000280,54505560,54505560,True,260290,260290,True,26,True,cep,02,M,M,1244,202601
0000337,54505560,54505560,True,260290,260290,True,26,True,cep,02,M,M,1244,202601
0000396,50740900,50740900,True,261160,261160,True,26,True,cep,05,E,E,2011,202601
0000418,52051380,52051380,True,261160,261160,True,26,True,cep,05,E,E,1023,202601
0000426,50920592,50920592,True,261160,261160,True,26,True,cep,05,E,E,1023,202601
0000434,50070555,50070555,True,261160,261160,True,26,True,cep,05,D,D,3999,202601
0000477,50100130,50100130,True,261160,261160,True,26,True,cep,05,E,E,1147,202601
0000531,50770100,50770100,True,261160,261160,True,26,True,cep,04,M,M,1244,202601
0000566,52060000,52060000,True,261160,261160,True,26,True,cep,05,D,D,3069,202601
0000582,50040000,50040000,True,261160,261160,True,26,True,cep,07,E,E,3999,202601
0000590,50720715,50720715,True,261160,261160,True,26,True,cep,04,M,M,1244,202601
0000604,52121030,52121030,True,261160,261160,True,26,True,cep,04,M,M,1244,202601
0000612,52051020,52051020,True,261160,261160,True,26,True,cep,04,M,M,1244,202601
0000655,52010040,52010040,True,261160,261160,True,26,True,cep,05,E,E,1023,202601
0000671,51230000,51230000,True,261160,261160,True,26,True,cep,05,M,M,1244,202601
0000701,50770400,50770400,True,261160,261160,True,26,True,cep,07,M,M,1244,202601
0000930,50870901,50870901,True,261160,261160,True,26,True,cep,07,M,M,1244,202601
0000981,52050150,52050150,True,261160,261160,True,26,True,cep,05,E,E,1147,202601
0001015,52051020,52051020,True,261160,261160,True,26,True,cep,07,M,M,1244,202601
0001120,52010902,52010902,True,261160,261160,True,26,True,cep,05,D,D,3999,202601
0001252,50080730,50080730,True,261160,261160,True,26,True,cep,02,M,M,1244,202601
0002062,51330240,51330240,True,261160,261160,True,26,True,cep,02,M,M,1244,202601
0002232,49072720,49072720,True,280030,280030,True,28,True,cep,05,E,E,3999,202601
0002275,49065000,49065000,True,280030,280030,True,28,True,cep,05,M,M,3999,202601
0002283,49055210,49055210,True,280030,280030,True,28,True,cep,05,E,E,3069,202601
0002372,49030290,49030290,True,280030,280030,True,28,True,cep,05,M,M,1244,202601
0002534,49060025,49060025,True,280030,280030,True,28,True,cep,05,M,M,2011,202601
0002585,49015400,49015400,True,280030,280030,True,28,True,cep,05,M,M,2054,202601
0003077,49072470,49072470,True,280030,280030,True,28,True,cep,36,E,E,1023,202601
0003778,40411900,40411900,True,292740,292740,True,29,True,cep,05,E,E,1023,202601
0003786,40285001,40285001,True,292740,292740,True,29,True,cep,07,D,D,3999,202601
0003794,40279080,40279080,True,292740,292740,True,29,True,cep,07,E,E,1023,202601
0003808,41253190,41253190,True,292740,292740,True,29,True,cep,05,M,M,2054,202601
0003816,40110060,40110060,True,292740,292740,True,29,True,cep,05,D,D,1104,202601
0003832,40050410,40050410,True,292740,292740,True,29,True,cep,05,D,D,3999,202601
0003840,41342395,41342395,True,292740,292740,True,29,True,cep,07,E,E,1023,202601
0003859,41180900,41180900,True,292740,292740,True,29,True,cep,05,E,E,1023,202601
0003875,40320010,40320010,True,292740,292740,True,29,True,cep,05,E,E,1023,202601
0003913,40290200,40290200,True,292740,292740,True,29,True,cep,73,E,E,1023,202601
0003980,41310295,41310295,True,292740,292740,True,29,True,cep,05,E,E,1023,202601
0003999,40310000,40310000,True,292740,292740,True,29,True,cep,02,M,M,1244,202601
0004030,41205140,41205140,True,292740,292740,True,29,True,cep,02,M,M,1244,202601
0004065,40320350,40320350,True,292740,292740,True,29,True,cep,07,E,E,1023,202601
