cnes_codigo,cod_cep,cep_limpo,codufmun,municipio_codigo_6,uf_codigo,tp_unid,tpgestao,esfera_a,nat_jur,competen,cep_valido,municipio_valido,uf_valida,spatial_resolution_available,spatial_resolution_target,fallback_rule,cnes_competencia,source_system,lookup_scope,latitude,longitude,spatial_resolution_final,spatial_source,geocode_quality,municipio_nome,uf_sigla,uf_nome
0000019,54580530,54580530,260290,260290,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000035,54535430,54535430,260290,260290,26,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000051,54520250,54520250,260290,260290,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000221,54505560,54505560,260290,260290,26,05,M,M,2062,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000280,54505560,54505560,260290,260290,26,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000337,54505560,54505560,260290,260290,26,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cabo de Santo Agostinho,PE,Pernambuco
0000396,50740900,50740900,261160,261160,26,05,E,E,2011,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0491589,-34.945898,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000418,52051380,52051380,261160,261160,26,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0301071,-34.9107353,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000426,50920592,50920592,261160,261160,26,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000434,50070555,50070555,261160,261160,26,05,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000477,50100130,50100130,261160,261160,26,05,E,E,1147,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0476325,-34.8879481,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000531,50770100,50770100,261160,261160,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0807897,-34.9063036,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000566,52060000,52060000,261160,261160,26,05,D,D,3069,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0351031,-34.9088141,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000582,50040000,50040000,261160,261160,26,07,E,E,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0473204,-34.8767491,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000590,50720715,50720715,261160,261160,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0586307,-34.9071881,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000604,52121030,52121030,261160,261160,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0170621,-34.8825683,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000612,52051020,52051020,261160,261160,26,04,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0310899,-34.9018796,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000655,52010040,52010040,261160,261160,26,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0571973,-34.8977891,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000671,51230000,51230000,261160,261160,26,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.1143691,-34.9395564,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000701,50770400,50770400,261160,261160,26,07,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0791719,-34.9105982,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000930,50870901,50870901,261160,261160,26,07,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0950606,-34.928952,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0000981,52050150,52050150,261160,261160,26,05,E,E,1147,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0331141,-34.9072023,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0001015,52051020,52051020,261160,261160,26,07,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0310899,-34.9018796,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0001120,52010902,52010902,261160,261160,26,05,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0614503,-34.8979547,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0001252,50080730,50080730,261160,261160,26,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.0715869,-34.8998281,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0002062,51330240,51330240,261160,261160,26,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-8.1269273,-34.9569989,cep,nominatim_cep,aproximado_por_cep,Recife,PE,Pernambuco
0002232,49072720,49072720,280030,280030,28,05,E,E,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0002275,49065000,49065000,280030,280030,28,05,M,M,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0002283,49055210,49055210,280030,280030,28,05,E,E,3069,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0002372,49030290,49030290,280030,280030,28,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-10.9749443,-37.0744638,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0002534,49060025,49060025,280030,280030,28,05,M,M,2011,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0002585,49015400,49015400,280030,280030,28,05,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0003077,49072470,49072470,280030,280030,28,36,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Aracaju,SE,Sergipe
0003778,40411900,40411900,292740,292740,29,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003786,40285001,40285001,292740,292740,29,07,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.98895,-38.4909916,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003794,40279080,40279080,292740,292740,29,07,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9852385,-38.4768619,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003808,41253190,41253190,292740,292740,29,05,M,M,2054,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9296156,-38.4380478,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003816,40110060,40110060,292740,292740,29,05,D,D,1104,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9927543,-38.5206597,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003832,40050410,40050410,292740,292740,29,05,D,D,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9708737,-38.5033795,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003840,41342395,41342395,292740,292740,29,07,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003859,41180900,41180900,292740,292740,29,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003875,40320010,40320010,292740,292740,29,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9573494,-38.4958437,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003913,40290200,40290200,292740,292740,29,73,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9023677,-38.459024,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003980,41310295,41310295,292740,292740,29,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0003999,40310000,40310000,292740,292740,29,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9588404,-38.4876632,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0004030,41205140,41205140,292740,292740,29,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
0004065,40320350,40320350,292740,292740,29,07,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-12.9584756,-38.4865105,cep,nominatim_cep,aproximado_por_cep,Salvador,BA,Bahia
