cnes_codigo,cod_cep,cep_limpo,municipio_codigo_6,municipio_nome,uf_codigo,uf_sigla,latitude_cep_original,longitude_cep_original,dist_km_to_expected_municipio,regra_aplicada,spatial_resolution_original,spatial_resolution_final,latitude,longitude,spatial_source,geocode_quality
2566168,69305115,69305115,140010,Boa Vista,14,RR,-23.4647655,-46.8584264,3315.428452070188,fallback_municipio,cep,municipio,3.1177857490675653,-60.71798654518374,ibge_municipio_centroid,centroide_municipal
2566206,69316702,69316702,140010,Boa Vista,14,RR,-23.4647655,-46.8584264,3315.428452070188,fallback_municipio,cep,municipio,3.1177857490675653,-60.71798654518374,ibge_municipio_centroid,centroide_municipal
9472339,69314551,69314551,140010,Boa Vista,14,RR,-23.4647655,-46.8584264,3315.428452070188,fallback_municipio,cep,municipio,3.1177857490675653,-60.71798654518374,ibge_municipio_centroid,centroide_municipal
2458675,99999999,99999999,211120,São José de Ribamar,21,MA,-29.1536887,-51.1933753,3048.411086506877,fallback_municipio,cep,municipio,-2.5742518479227634,-44.13051880876735,ibge_municipio_centroid,centroide_municipal
2517248,99999999,99999999,211120,São José de Ribamar,21,MA,-29.1536887,-51.1933753,3048.411086506877,fallback_municipio,cep,municipio,-2.5742518479227634,-44.13051880876735,ibge_municipio_centroid,centroide_municipal
6826393,99999999,99999999,211130,São Luís,21,MA,-29.1536887,-51.1933753,3038.121338643743,fallback_municipio,cep,municipio,-2.63367990071314,-44.28090203111629,ibge_municipio_centroid,centroide_municipal
2527707,99999999,99999999,230760,Limoeiro do Norte,23,CE,-29.1536887,-51.1933753,3005.7530106915247,fallback_municipio,cep,municipio,-5.150309991976327,-38.05613160055038,ibge_municipio_centroid,centroide_municipal
2529556,99999999,99999999,230760,Limoeiro do Norte,23,CE,-29.1536887,-51.1933753,3005.7530106915247,fallback_municipio,cep,municipio,-5.150309991976327,-38.05613160055038,ibge_municipio_centroid,centroide_municipal
9247971,99999999,99999999,230760,Limoeiro do Norte,23,CE,-29.1536887,-51.1933753,3005.7530106915247,fallback_municipio,cep,municipio,-5.150309991976327,-38.05613160055038,ibge_municipio_centroid,centroide_municipal
2016141,69553125,69553125,130420,Tefé,13,AM,-23.4647655,-46.8584264,2910.929757829015,fallback_municipio,cep,municipio,-4.472510283832752,-65.53157713248581,ibge_municipio_centroid,centroide_municipal
3581748,69550133,69550133,130420,Tefé,13,AM,-23.4647655,-46.8584264,2910.929757829015,fallback_municipio,cep,municipio,-4.472510283832752,-65.53157713248581,ibge_municipio_centroid,centroide_municipal
2343681,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
2343703,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
2343754,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
2343843,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
2636050,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
7985509,99999999,99999999,260940,Moreno,26,PE,-29.1536887,-51.1933753,2875.9121329491604,fallback_municipio,cep,municipio,-8.144038981395974,-35.14628902881571,ibge_municipio_centroid,centroide_municipal
2013320,69722052,69722052,130353,Presidente Figueiredo,13,AM,-23.4647655,-46.8584264,2835.4357066469383,fallback_municipio,cep,municipio,-1.3705121801375006,-59.98969581253171,ibge_municipio_centroid,centroide_municipal
2428385,99999999,99999999,260010,Afogados da Ingazeira,26,PE,-29.1536887,-51.1933753,2772.811863250428,fallback_municipio,cep,municipio,-7.737280891376835,-37.618268657301904,ibge_municipio_centroid,centroide_municipal
