lat_round6,lon_round6,n_cnes,n_municipios,n_ufs,example_spatial_resolution
-15.803258,-47.885477,2736,1214,27,cep
-23.464766,-46.858426,887,420,25,cep
-29.153689,-51.193375,127,94,14,cep
-5.22218,-39.298101,13,1,1,cep
-12.568569,-38.026047,11,1,1,cep
-12.366282,-38.385648,10,1,1,cep
-16.415651,-39.14124,8,1,1,cep
-16.251593,-47.951101,7,1,1,cep
-15.589918,-49.26034,7,1,1,cep
-11.854767,-37.566781,7,1,1,cep
-5.63972,-35.420431,7,1,1,cep
-4.164345,-42.879162,7,1,1,cep
-21.20567,-41.89313,6,1,1,cep
-17.887559,-39.849671,6,1,1,cep
-11.649797,-39.004346,6,1,1,cep
-11.417528,-58.760214,6,1,1,cep
-6.640747,-51.981406,6,1,1,cep
-4.350882,-38.898995,6,1,1,cep
-29.961886,-51.629828,5,1,1,cep
-28.398485,-53.915559,5,1,1,cep
-16.767691,-47.612384,5,1,1,cep
-15.544515,-54.306562,5,1,1,cep
-15.316506,-49.586104,5,1,1,cep
-14.526586,-49.146151,5,1,1,cep
-13.359055,-39.0685,5,1,1,cep
-13.035375,-39.012205,5,1,1,cep
-12.8168,-39.101005,5,1,1,cep
-11.804421,-37.940672,5,1,1,cep
-11.337313,-38.963127,5,1,1,cep
-10.722267,-62.260815,5,1,1,cep
-9.376401,-37.999215,5,1,1,cep
-7.627821,-46.094699,5,1,1,cep
-7.507982,-38.947781,5,1,1,cep
-7.405888,-35.112747,5,1,1,cep
-6.401919,-38.856806,5,1,1,cep
-6.257638,-36.52106,5,1,1,cep
-6.137891,-49.755461,5,1,1,cep
-5.687069,-35.276958,5,1,1,cep
-4.24973,-43.055875,5,1,1,cep
-1.426475,-48.491028,5,1,1,cep
-1.290454,-48.318841,5,1,1,cep
-29.999189,-50.152098,4,1,1,cep
-27.493723,-50.119673,4,1,1,cep
-26.325715,-51.244995,4,1,1,cep
-24.793984,-53.295101,4,1,1,cep
-24.489252,-47.845886,4,1,1,cep
-23.407442,-46.97488,4,1,1,cep
-23.312664,-46.240542,4,1,1,cep
-23.291447,-50.067331,4,1,1,cep
-22.953744,-43.18837,4,1,1,cep
-22.930216,-53.139289,4,1,1,cep
-22.628428,-54.841435,4,1,1,cep
-22.48078,-42.109702,4,1,1,cep
-22.408633,-43.66917,4,1,1,cep
-20.4862,-55.826826,4,1,1,cep
-20.363103,-41.130574,4,1,1,cep
-20.220165,-41.467115,4,1,1,cep
-19.316556,-46.049936,4,1,1,cep
-18.250222,-39.978276,4,1,1,cep
-17.814012,-50.60013,4,1,1,cep
-17.800236,-50.91792,4,1,1,cep
-17.288933,-39.233609,4,1,1,cep
-16.079712,-47.987686,4,1,1,cep
-15.828688,-54.395411,4,1,1,cep
-15.247473,-40.2468,4,1,1,cep
-14.664917,-52.353094,4,1,1,cep
-12.694736,-38.331069,4,1,1,cep
-12.666113,-39.101702,4,1,1,cep
-12.607627,-38.967654,4,1,1,cep
-12.550092,-38.707843,4,1,1,cep
-12.528473,-40.303768,4,1,1,cep
-12.516154,-38.497215,4,1,1,cep
-12.430266,-38.32838,4,1,1,cep
-11.498594,-37.914563,4,1,1,cep
-10.96852,-38.789573,4,1,1,cep
-10.731821,-38.91504,4,1,1,cep
-10.493679,-38.982178,4,1,1,cep
-10.464851,-40.184961,4,1,1,cep
-9.877854,-56.091568,4,1,1,cep
-9.727012,-35.838206,4,1,1,cep
-9.675805,-56.470491,4,1,1,cep
-9.625278,-42.085651,4,1,1,cep
-9.132058,-36.036334,4,1,1,cep
-8.711504,-35.109113,4,1,1,cep
-8.5032,-35.399208,4,1,1,cep
-7.941021,-35.921161,4,1,1,cep
-7.665046,-35.172795,4,1,1,cep
-7.629714,-72.675316,4,1,1,cep
-6.887031,-38.554335,4,1,1,cep
-6.467472,-37.097607,4,1,1,cep
-6.115555,-38.204686,4,1,1,cep
-5.64481,-43.320535,4,1,1,cep
-5.577319,-36.918642,4,1,1,cep
-5.454576,-42.361346,4,1,1,cep
-5.291821,-35.48631,4,1,1,cep
-4.912559,-47.451336,4,1,1,cep
-4.83355,-42.177932,4,1,1,cep
-1.439794,-48.516616,4,1,1,cep
-1.184166,-46.207342,4,1,1,cep
-0.770858,-47.176322,4,1,1,cep
-31.568806,-53.378212,3,1,1,cep
-30.263546,-54.929256,3,1,1,cep
-29.696149,-51.231534,3,1,1,cep
-29.648292,-50.572772,3,1,1,cep
-29.47915,-51.81132,3,1,1,cep
-29.082285,-53.836803,3,1,1,cep
-28.975912,-51.070572,3,1,1,cep
-28.92396,-49.678516,3,1,1,cep
-28.855822,-51.279844,3,1,1,cep
-28.815353,-52.515491,3,1,1,cep
-28.640919,-53.098337,3,1,1,cep
-28.353342,-49.268825,3,1,1,cep
-28.286335,-55.85376,3,1,1,cep
-28.193298,-48.68402,3,1,1,cep
-27.884921,-52.225218,3,1,1,cep
-27.813294,-54.728349,3,1,1,cep
-26.734428,-53.519004,3,1,1,cep
