grupo,arquivo,n_colunas,tem_cep,tem_endereco,tem_bairro,tem_numero,tem_latlon,tem_nome,colunas_interesse,erro
DC,DCTO2601.dbc,171,True,True,False,False,False,False,CODUFMUN; S_RECEPC; ATEND_PR,
EE,EESP1912.dbc,31,True,False,False,False,False,False,CODUFMUN; COD_CEP,
EF,EFufAAmm.dbc,31,True,False,False,False,False,False,CODUFMUN; COD_CEP,
EP,EPTO2601.dbc,108,True,True,False,False,False,True,CODUFMUN; COD_CEP; ATEND_PR; NOME_EQP; NOMEAREA,
EQ,EQTO2601.dbc,28,False,False,False,False,False,False,CODUFMUN,
GM,GMufAAmm.dbc,31,True,False,False,False,False,False,CODUFMUN; COD_CEP,
HB,HBufAAmm.dbc,32,True,False,False,False,False,False,CODUFMUN; COD_CEP,
IN,INufAAmm.dbc,31,True,False,False,False,False,False,CODUFMUN; COD_CEP,
LT,LTTO2601.dbc,28,False,False,False,False,False,False,CODUFMUN,
PF,PFTO2601.dbc,40,False,False,False,False,False,True,CODUFMUN; NOMEPROF; UFMUNRES,
RC,RCufAAmm.dbc,31,True,False,False,False,False,False,CODUFMUN; COD_CEP,
SR,SRTO2601.dbc,32,False,False,False,False,False,False,CODUFMUN,
ST,STTO2601.dbc,208,True,True,False,False,False,False,CODUFMUN; COD_CEP; ATENDAMB; ATENDHOS; ATEND_PR,
